target,model_type,n_obs,aic,bic,rsquared,rsquared_adj,deviance,null_deviance,pseudo_r2
system_energy_per_good_part_kwh,log_ols,181,-313.7522368675281,-300.9582487424648,0.1975035288050112,0.18390189370001142,,,
system_energy_per_good_part_kwh,gamma_glm,181,255.91828778778472,,,,1.808538967500158,2.2582472595205507,0.19914041304576646
cycle_energy_per_good_part_kwh,log_ols,181,-580.075589068718,-567.2816009436548,0.10098104054147139,0.08574343105912352,,,
cycle_energy_per_good_part_kwh,gamma_glm,181,-328.5102708409022,,,,0.41206139236518774,0.45890264818409127,0.10207231534674632
